month,brand,market_share,avg_price,growth_rate
2023-01,BrandA,41.74,40.15,2.23
2023-01,BrandB,8.21,35.63,1.04
2023-01,BrandC,7.34,40.79,0.28
2023-01,BrandD,26.57,44.63,-0.93
2023-01,BrandE,6.13,49.04,0.82
2023-01,BrandF,2.08,34.89,1.17
2023-01,BrandG,4.69,40.14,-1.03
2023-01,BrandH,3.23,35.04,-1.12
2023-02,BrandA,7.11,41.6,1.09
2023-02,BrandB,23.86,37.7,1.69
2023-02,BrandC,8.89,31.55,-1.4
2023-02,BrandD,1.14,31.99,-0.75
2023-02,BrandE,0.89,37.04,-0.47
2023-02,BrandF,3.96,35.71,-0.58
2023-02,BrandG,4.44,42.53,1.39
2023-02,BrandH,49.7,30.14,-0.68
2023-03,BrandA,8.13,39.61,-0.57
2023-03,BrandB,4.12,48.27,-0.1
2023-03,BrandC,8.37,49.31,0.17
2023-03,BrandD,20.99,47.04,0.63
2023-03,BrandE,27.82,44.05,1.22
2023-03,BrandF,6.79,39.4,0.1
2023-03,BrandG,1.65,45.74,0.3
2023-03,BrandH,22.12,48.7,0.49
2023-04,BrandA,15.45,34.93,-0.38
2023-04,BrandB,5.23,42.77,0.59
2023-04,BrandC,16.82,33.98,1.05
2023-04,BrandD,16.0,47.39,0.56
2023-04,BrandE,6.17,42.38,0.86
2023-04,BrandF,23.43,43.4,-1.29
2023-04,BrandG,3.41,42.38,0.67
2023-04,BrandH,13.48,38.29,-0.9
2023-05,BrandA,7.14,35.39,0.17
2023-05,BrandB,14.05,48.33,0.41
2023-05,BrandC,12.66,42.85,-0.53
2023-05,BrandD,2.64,42.67,-0.78
2023-05,BrandE,0.02,43.59,0.71
2023-05,BrandF,22.87,43.08,0.26
2023-05,BrandG,14.24,33.3,-0.53
2023-05,BrandH,26.39,49.03,1.03
2023-06,BrandA,0.87,44.58,0.68
2023-06,BrandB,9.66,35.85,-0.06
2023-06,BrandC,2.48,40.32,1.04
2023-06,BrandD,35.92,49.43,-0.6
2023-06,BrandE,0.46,32.32,0.45
2023-06,BrandF,18.44,40.84,1.28
2023-06,BrandG,27.63,42.4,0.65
2023-06,BrandH,4.53,40.07,0.89
2023-07,BrandA,0.37,43.31,-0.73
2023-07,BrandB,6.46,34.19,0.46
2023-07,BrandC,28.76,48.8,3.08
2023-07,BrandD,10.83,32.52,0.25
2023-07,BrandE,6.06,49.47,-0.25
2023-07,BrandF,0.87,47.63,-1.25
2023-07,BrandG,43.35,44.05,-0.08
2023-07,BrandH,3.3,32.71,0.07
2023-08,BrandA,12.19,33.0,-1.17
2023-08,BrandB,14.43,34.03,0.5
2023-08,BrandC,16.1,34.42,1.25
2023-08,BrandD,1.68,46.5,-1.67
2023-08,BrandE,1.0,44.54,-0.06
2023-08,BrandF,24.03,30.63,-0.93
2023-08,BrandG,4.35,41.4,1.03
2023-08,BrandH,26.24,32.48,0.9
2023-09,BrandA,18.04,37.36,0.01
2023-09,BrandB,55.79,49.49,0.31
2023-09,BrandC,5.33,30.24,0.26
2023-09,BrandD,1.95,38.68,0.16
2023-09,BrandE,7.82,36.83,1.15
2023-09,BrandF,2.86,48.37,0.76
2023-09,BrandG,1.58,48.24,0.07
2023-09,BrandH,6.62,36.2,0.26
2023-10,BrandA,8.5,48.43,-0.23
2023-10,BrandB,9.16,49.59,0.31
2023-10,BrandC,2.66,42.38,-1.34
2023-10,BrandD,0.99,32.62,2.25
2023-10,BrandE,6.24,45.95,-0.12
2023-10,BrandF,20.71,33.05,0.2
2023-10,BrandG,0.07,35.73,0.13
2023-10,BrandH,51.67,48.81,0.88
2023-11,BrandA,2.99,49.19,1.56
2023-11,BrandB,38.63,35.39,-1.02
2023-11,BrandC,28.93,35.09,-1.2
2023-11,BrandD,11.59,45.03,-0.42
2023-11,BrandE,13.17,42.44,0.51
2023-11,BrandF,0.23,48.06,1.71
2023-11,BrandG,2.43,31.29,-0.46
2023-11,BrandH,2.02,42.46,0.83
2023-12,BrandA,23.14,46.89,0.47
2023-12,BrandB,3.31,47.82,0.63
2023-12,BrandC,29.58,31.66,0.15
2023-12,BrandD,1.73,35.91,0.83
2023-12,BrandE,27.65,30.12,-0.35
2023-12,BrandF,0.38,30.25,0.29
2023-12,BrandG,3.54,38.35,0.26
2023-12,BrandH,10.67,40.57,-0.27
2024-01,BrandA,7.43,44.53,-0.01
2024-01,BrandB,1.28,45.07,-0.02
2024-01,BrandC,19.26,34.4,-1.16
2024-01,BrandD,9.52,35.11,0.51
2024-01,BrandE,13.74,39.02,0.42
2024-01,BrandF,16.95,32.96,-0.02
2024-01,BrandG,20.27,45.57,-0.96
2024-01,BrandH,11.55,36.85,0.08
2024-02,BrandA,13.82,48.17,-0.14
2024-02,BrandB,8.12,39.76,0.76
2024-02,BrandC,41.26,36.49,-0.37
2024-02,BrandD,10.84,46.24,0.79
2024-02,BrandE,16.77,33.6,0.7
2024-02,BrandF,0.72,35.72,-0.07
2024-02,BrandG,6.34,48.22,0.47
2024-02,BrandH,2.12,35.57,-0.56
2024-03,BrandA,3.44,38.37,1.25
2024-03,BrandB,15.94,42.74,-1.53
2024-03,BrandC,7.56,31.09,0.17
2024-03,BrandD,2.19,38.64,0.14
2024-03,BrandE,25.86,43.1,-0.29
2024-03,BrandF,4.61,38.15,-0.57
2024-03,BrandG,18.81,35.59,-0.56
2024-03,BrandH,21.59,30.3,-0.04
2024-04,BrandA,2.54,46.37,0.87
2024-04,BrandB,3.68,47.2,-0.09
2024-04,BrandC,18.03,49.67,0.03
2024-04,BrandD,16.1,38.83,0.49
2024-04,BrandE,14.98,49.41,0.8
2024-04,BrandF,37.32,45.13,0.05
2024-04,BrandG,6.09,47.32,-0.3
2024-04,BrandH,1.27,35.45,1.3
2024-05,BrandA,20.52,43.72,0.64
2024-05,BrandB,1.55,35.24,1.14
2024-05,BrandC,3.45,49.14,0.65
2024-05,BrandD,0.51,38.86,-0.13
2024-05,BrandE,5.63,37.92,-0.28
2024-05,BrandF,6.32,36.97,0.59
2024-05,BrandG,37.81,37.21,-0.15
2024-05,BrandH,24.21,46.76,-0.06
2024-06,BrandA,9.59,44.17,-0.16
2024-06,BrandB,5.72,40.32,-0.4
2024-06,BrandC,0.82,45.52,0.03
2024-06,BrandD,3.79,43.52,-0.77
2024-06,BrandE,16.83,45.05,-0.36
2024-06,BrandF,29.36,46.03,0.21
2024-06,BrandG,29.0,47.24,-0.2
2024-06,BrandH,4.89,33.6,1.4
2024-07,BrandA,2.32,33.41,-0.44
2024-07,BrandB,20.28,36.62,0.13
2024-07,BrandC,24.8,47.51,0.32
2024-07,BrandD,17.37,35.24,-0.52
2024-07,BrandE,13.99,37.42,-0.08
2024-07,BrandF,14.66,31.38,0.07
2024-07,BrandG,1.11,39.4,0.45
2024-07,BrandH,5.46,30.96,0.03
2024-08,BrandA,35.32,46.77,2.3
2024-08,BrandB,15.38,32.87,-0.15
2024-08,BrandC,1.74,40.42,-0.2
2024-08,BrandD,1.54,46.73,-1.32
2024-08,BrandE,2.96,43.43,-0.02
2024-08,BrandF,0.95,39.39,-1.13
2024-08,BrandG,23.65,42.97,-0.19
2024-08,BrandH,18.47,35.9,0.81
2024-09,BrandA,3.86,47.85,0.59
2024-09,BrandB,21.85,46.05,-0.87
2024-09,BrandC,15.49,32.74,-0.58
2024-09,BrandD,3.61,37.54,-0.17
2024-09,BrandE,9.07,30.84,0.33
2024-09,BrandF,7.98,47.5,0.2
2024-09,BrandG,11.8,40.18,1.35
2024-09,BrandH,26.36,34.64,0.57
2024-10,BrandA,8.58,49.47,0.33
2024-10,BrandB,7.1,34.13,-0.31
2024-10,BrandC,5.22,31.6,0.8
2024-10,BrandD,6.54,35.89,0.22
2024-10,BrandE,15.79,37.97,0.81
2024-10,BrandF,5.15,32.04,0.5
2024-10,BrandG,27.07,41.88,0.81
2024-10,BrandH,24.55,35.31,-0.37
2024-11,BrandA,10.85,41.17,0.42
2024-11,BrandB,10.45,30.32,0.27
2024-11,BrandC,31.07,43.36,-1.67
2024-11,BrandD,5.69,35.97,-0.63
2024-11,BrandE,1.45,44.52,-0.03
2024-11,BrandF,13.14,36.43,-0.12
2024-11,BrandG,11.48,34.05,0.16
2024-11,BrandH,15.88,32.36,-0.74
2024-12,BrandA,4.76,45.05,-0.07
2024-12,BrandB,30.88,45.55,-0.33
2024-12,BrandC,10.26,44.09,0.47
2024-12,BrandD,9.51,42.51,1.07
2024-12,BrandE,21.61,39.93,0.1
2024-12,BrandF,15.24,32.38,-1.35
2024-12,BrandG,5.87,49.88,0.93
2024-12,BrandH,1.87,48.22,-0.12
